CLAVE CT,NOM TURNO,NOMBRE CT,DOMICILIO,LOCALIDAD INEGI, NOMBRE LOCALIDAD,COLONIA,NOMBRE COLONIA,MUNICIPIO CLAVE INEGI,NOMBRE MUNICIPIO,SOSTENIMIENTO,NIVEL,PROGRAMA,DESERCIÓN INTRACURRICULAR,REPROBACIÓN,REPROBACIÓN  CON REGULARIZADOS,EFICIENCIA TERMINAL
14DJN0128O,MATUTINO,JUAN DE LA BARRERA,ARQUIMEDES 723,1,GUADALAJARA,9386,HERMOSA PROVINCIA,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0129N,MATUTINO,JOSEFA ORTIZ DE DOMINGUEZ,OBREGON 70,1,AUTLAN DE NAVARRO,0,0,15,AUTLAN DE NAVARRO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0130C,MATUTINO,ROSAURA ZAPATA,PEDRO CELESTINO NEGRETE 144,1,GUADALAJARA,9417,OBLATOS,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0132A,MATUTINO,UNIDAD MODELO,UNIDAD MODELO,1,GUADALAJARA,9445,UNIDAD MODELO,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0133Z,MATUTINO,CIPRIANA GUTIERREZ RODRIGUEZ,GREGORIO DAVILA 1081,1,GUADALAJARA,9061,MEZQUITAN COUNTRY,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0134Z,MATUTINO,ROSAURA ZAPATA,CONOCIDO,40,IZOLTA,0,0,115,VILLA GUERRERO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0135Y,MATUTINO,FERNANDO AMILPA,FIDEL VELAZQUEZ 1529,1,GUADALAJARA,9389,ATEMAJAC,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0136X,MATUTINO,MIGUEL HIDALGO Y COSTILLA,NACIONAL 248,11,GENERAL ANDRES FIGUEROA (CATARINA DOS),0,0,119,ZACOALCO DE TORRES,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0137W,MATUTINO,MANUEL LOPEZ COTILLA,NICOLAS BRAVO 40,1,ZAPOTLANEJO,0,0,124,ZAPOTLANEJO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0138V,MATUTINO,VIRGINIA GALLARDO,LERDO DE TEJADA 60,1,TEQUILA,9000,TEQUILA (ZONA CENTRO),94,TEQUILA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
